report_date,region,class,commodity,variety,organic,unit,environment,price_min,price_max,current_ad_count,current_wtd_avg_price
03/25/2022,Northeast,Vegetables,Tomatoes,Cherry Type,Yes,1 pint package,N/A,2.99,2.99,5,2.99
03/25/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,Yes,per lb,Greenhouse,2.99,2.99,22,2.99
03/25/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.99,2.49,289,1.74
03/25/2022,Northeast,Vegetables,Tomatoes,Plum Type (Roma),Yes,per lb,N/A,1.99,1.99,22,1.99
03/25/2022,Northeast,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.89,2.49,455,1.13
03/25/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,Yes,per lb,N/A,3.99,3.99,8,3.99
03/25/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.49,2.49,96,1.74
03/25/2022,Northeast,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,No,per lb,Greenhouse,2.99,2.99,75,2.99
03/25/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,1.99,10,521,3.82
03/25/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,2.5,3.5,698,3
03/25/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.29,3,878,2.52
04/01/2022,Northeast,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.99,2.49,366,1.44
04/01/2022,Northeast,Vegetables,Tomatoes,Plum Type (Roma),Yes,per lb,N/A,1.99,1.99,22,1.99
04/01/2022,Northeast,Vegetables,Tomatoes,Cherry Type,Yes,1 pint package,N/A,2.5,2.5,10,2.5
04/01/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,2.99,3.99,641,3.09
04/01/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.99,3.49,755,2.45
04/01/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,2.5,3.99,209,2.83
04/01/2022,Northeast,Vegetables,Tomatoes,Cherry Type,No,1 pint package,N/A,2.5,2.5,9,2.5
04/01/2022,Northeast,Vegetables,Tomatoes,N/A,Yes,per lb,N/A,1.99,2.99,79,2.27
04/01/2022,Northeast,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,No,per lb,Greenhouse,2.49,2.99,110,2.85
04/01/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,Yes,per lb,Greenhouse,3.49,3.49,8,3.49
04/01/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.59,2.49,131,1.83
04/01/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.99,2.49,88,1.71
04/01/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.98,2.49,543,1.56
04/01/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,1.99,3.49,297,2.97
04/01/2022,Northeast,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.88,0.99,339,0.99
04/08/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,Yes,per lb,Greenhouse,2.79,3.49,30,2.98
04/08/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,Yes,per lb,N/A,3.49,3.49,8,3.49
04/08/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.99,2.99,40,2.19
04/08/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.99,2.99,125,2.13
04/08/2022,Northeast,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.99,2.99,200,1.21
04/08/2022,Northeast,Vegetables,Tomatoes,Plum Type (Roma),Yes,per lb,N/A,1.99,1.99,22,1.99
04/08/2022,Northeast,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,No,per lb,Greenhouse,0.99,2.99,253,2.65
04/08/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,1.99,3.99,418,3.05
04/08/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.99,2.99,1112,1.73
04/08/2022,Northeast,Vegetables,Tomatoes,N/A,Yes,per lb,N/A,2.49,2.99,79,2.63
04/08/2022,Northeast,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.99,0.99,34,0.99
04/08/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,2.5,3.5,696,3.01
04/08/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,0.99,2.5,640,2.27
04/08/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,Yes,10 oz package,N/A,2.99,2.99,74,2.99
04/08/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,2.5,2.89,361,2.87
04/08/2022,Northeast,Vegetables,Tomatoes,Cherry Type,No,1 pint package,N/A,3.99,3.99,80,3.99
04/15/2022,Northeast,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.89,2.99,179,1.19
